iso_code,vaccine_id,date_avaliable,date_unavaliable,data_source_id
ZAF,2,,,183
KOR,9,,,184
KOR,5,,,184
KOR,1,,,184
KOR,2,,,184
SSD,1,,,185
ESP,9,,,186
ESP,5,,,186
ESP,1,,,186
ESP,2,,,186
LKA,5,,,187
LKA,1,,,187
LKA,2,,,187
LKA,3,,,187
LKA,6,,,187
SDN,9,,,188
SDN,1,,,188
SDN,2,,,188
SDN,3,,,188
SDN,4,,,188
SUR,1,,,189
SWE,5,,,190
SWE,1,,,190
SWE,2,,,190
CHE,5,,,191
CHE,2,,,191
SYR,1,,,192
SYR,3,,,192
SYR,6,,,192
TWN,5,,,193
TWN,1,,,193
TJK,5,,,194
TJK,1,,,194
TJK,4,,,194
THA,1,,,195
THA,4,,,195
TLS,1,,,196
TLS,4,,,196
TGO,1,,,197
TON,1,,,198
TTO,1,,,199
TTO,3,,,199
TUN,9,,,200
TUN,1,,,200
TUN,2,,,200
TUN,4,,,200
TUN,6,,,200
TUR,2,,,201
TUR,4,,,201
TKM,16,,,202
TKM,1,,,202
TKM,3,,,202
TKM,6,,,202
TCA,2,,,203
TUV,1,,,204
UGA,1,,,205
UKR,5,,,206
UKR,1,,,206
UKR,2,,,206
UKR,4,,,206
ARE,1,,,207
ARE,2,,,207
ARE,3,,,207
ARE,11,,,207
ARE,6,,,207
GBR,5,,,208
GBR,1,,,208
GBR,2,,,208
USA,9,,,209
USA,5,,,209
USA,2,,,209
URY,1,,,210
URY,2,,,210
URY,4,,,210
UZB,1,,,211
UZB,10,,,211
UZB,6,,,211
VUT,1,,,212
VEN,3,,,213
VEN,6,,,213
VNM,5,,,214
VNM,1,,,214
VNM,2,,,214
VNM,3,,,214
VNM,6,,,214
OWID_WLS,5,,,215
OWID_WLS,1,,,215
OWID_WLS,2,,,215
WLF,1,,,216
YEM,1,,,217
ZMB,1,,,218
ZMB,3,,,218
ZWE,3,,,219
ZWE,4,,,219
ZWE,6,,,219
