iso_code,date,vaccine_id,total_vaccinations
CHL,15/02/2021,2,113461
CHL,15/02/2021,4,2079061
CHL,16/02/2021,2,113473
CHL,16/02/2021,4,2299096
CHL,17/02/2021,2,113473
CHL,17/02/2021,4,2487139
CHL,18/02/2021,2,113476
CHL,18/02/2021,4,2642399
CHL,19/02/2021,2,113476
CHL,19/02/2021,4,2784523
CHL,20/02/2021,2,113478
CHL,20/02/2021,4,2794163
CHL,21/02/2021,2,113478
CHL,21/02/2021,4,2795325
CHL,22/02/2021,2,125571
CHL,22/02/2021,4,2891361
CHL,23/02/2021,2,150416
CHL,23/02/2021,4,2960757
CHL,24/02/2021,2,178936
CHL,24/02/2021,4,3018513
CHL,25/02/2021,2,212653
CHL,25/02/2021,4,3070875
CHL,26/02/2021,2,242385
CHL,26/02/2021,4,3119536
CHL,27/02/2021,2,248710
CHL,27/02/2021,4,3123258
CHL,28/02/2021,2,248712
CHL,28/02/2021,4,3123611
CHL,1/03/2021,2,263617
CHL,1/03/2021,4,3246269
CHL,2/03/2021,2,294540
CHL,2/03/2021,4,3386722
CHL,3/03/2021,2,313108
CHL,3/03/2021,4,3680065
CHL,4/03/2021,2,322217
CHL,4/03/2021,4,3981524
CHL,5/03/2021,2,327972
CHL,5/03/2021,4,4273616
CHL,6/03/2021,2,328316
CHL,6/03/2021,4,4307052
CHL,7/03/2021,2,328422
CHL,7/03/2021,4,4314909
CHL,8/03/2021,2,341023
CHL,8/03/2021,4,4652941
CHL,9/03/2021,2,378606
CHL,9/03/2021,4,4991895
CHL,10/03/2021,2,420216
CHL,10/03/2021,4,5351652
CHL,11/03/2021,2,465961
CHL,11/03/2021,4,5722973
CHL,12/03/2021,2,483372
CHL,12/03/2021,4,6079913
CHL,13/03/2021,2,483925
CHL,13/03/2021,4,6129812
CHL,14/03/2021,2,483925
CHL,14/03/2021,4,6136396
CHL,15/03/2021,2,507840
CHL,15/03/2021,4,6542772
CHL,16/03/2021,2,561379
CHL,16/03/2021,4,6899462
CHL,17/03/2021,2,616912
CHL,17/03/2021,4,7211260
CHL,18/03/2021,2,666512
CHL,18/03/2021,4,7496597
CHL,19/03/2021,2,689683
CHL,19/03/2021,4,7767975
CHL,20/03/2021,2,691603
CHL,20/03/2021,4,7800249
CHL,21/03/2021,2,691613
